iter	RMSE
0	2.574092996
1	2.460273803
2	2.352438157
3	2.250049635
4	2.153459662
5	2.061949164
6	1.976012427
7	1.89439982
8	1.817281349
9	1.744472914
10	1.675781449
11	1.61122541
12	1.550505791
13	1.493159629
14	1.439492323
15	1.388902729
16	1.341454948
17	1.296726547
18	1.2548187
19	1.215625699
20	1.178727068
21	1.144290776
22	1.11242309
23	1.082492594
24	1.054749814
25	1.028839877
26	1.00451102
27	0.9821371729
28	0.9611308352
29	0.9418985474
30	0.9242392062
31	0.9075193243
32	0.89183331
33	0.8774828635
34	0.8642072019
35	0.8518095671
36	0.8405054637
37	0.8298959756
38	0.8200760095
39	0.8110269851
40	0.8029521876
41	0.7941080453
42	0.7869395352
43	0.780318455
44	0.7741988901
45	0.7685269416
46	0.7633438582
47	0.7584639664
48	0.7538674072
49	0.7487521335
50	0.7447704199
51	0.7404713089
52	0.7365352921
53	0.7330695272
54	0.7299505565
55	0.7270241278
56	0.7224527438
57	0.7192278083
58	0.7170932295
59	0.7146737849
60	0.7121762682
61	0.7103135984
62	0.7082060169
63	0.7050540948
64	0.70265074
65	0.7002423766
66	0.6983462174
67	0.695979469
68	0.6938034838
69	0.6916714101
70	0.690313881
71	0.6886486141
72	0.6873703279
73	0.6862549684
74	0.6841961747
75	0.6828717257
76	0.6812625055
77	0.6801422325
78	0.6793568031
79	0.6783023905
80	0.6771304195
81	0.6764856604
82	0.6752221111
83	0.6743589277
84	0.6732214473
85	0.6725227684
86	0.6711725601
87	0.6703568814
88	0.6693552391
89	0.6688024362
90	0.6677995035
91	0.6668297654
92	0.6660244271
93	0.6647728016
94	0.6639416793
95	0.6629245171
96	0.6622236584
97	0.6599393424
98	0.659524785
99	0.6589510401
100	0.6585006783
101	0.6579704515
102	0.6567423551
103	0.6562468326
104	0.6555924699
105	0.6551475781
106	0.6545751406
107	0.6535633703
108	0.6532768232
109	0.6512664206
110	0.6503449409
111	0.6488237747
112	0.6478780599
113	0.6460194069
114	0.6455723587
115	0.6449418277
116	0.64326011
117	0.6423892639
118	0.6413314333
119	0.640750126
120	0.6393342392
121	0.6380633371
122	0.6374307221
123	0.6367230778
124	0.6358388281
125	0.6353953159
126	0.6347453468
127	0.6341694
128	0.6336749003
129	0.633470618
130	0.6323194265
131	0.6318712082
132	0.6310694128
133	0.6306717457
134	0.6295487832
135	0.6290683589
136	0.6287489587
137	0.6283365991
138	0.6276683367
139	0.6267319855
140	0.6260509456
141	0.6256751281
142	0.6251391985
143	0.6243836811
144	0.6238550423
145	0.6235649241
146	0.6233519575
147	0.6229434119
148	0.6224443053
149	0.6221622887
150	0.6217137098
151	0.6214116118
152	0.6209384045
153	0.6200766336
154	0.6198007735
155	0.6194720773
156	0.6191716831
157	0.6185281792
158	0.6179722092
159	0.6176412339
160	0.6173888372
161	0.6169220217
162	0.6165758204
163	0.6162978017
164	0.6160343311
165	0.6157297547
166	0.6152053841
167	0.6150457554
168	0.6146021772
169	0.614382975
170	0.614035379
171	0.6135201696
172	0.6127755781
173	0.6117563047
174	0.6114614297
175	0.6111074339
176	0.6108646544
177	0.6106552939
178	0.6104542385
179	0.6102281451
180	0.6099378855
181	0.6096568102
182	0.6095213907
183	0.608937532
184	0.6086744886
185	0.6085188116
186	0.6083753048
187	0.6078602445
188	0.6076412191
189	0.6074046965
190	0.6072995349
191	0.6070640955
192	0.6065285168
193	0.6062948237
194	0.6059762479
195	0.6056389439
196	0.6054385501
197	0.6050538894
198	0.6048800267
199	0.6046660706
200	0.6042584428
201	0.6039895332
202	0.6038314913
203	0.6037641277
204	0.6035506628
205	0.6027268422
206	0.6023180556
207	0.6021526139
208	0.6019419346
209	0.6017130326
210	0.6013621871
211	0.6009120158
212	0.6007065645
213	0.6004075125
214	0.6001892695
215	0.6000076902
216	0.5997952202
217	0.5991901615
218	0.5989253149
219	0.5986207726
220	0.5979049551
221	0.5978096543
222	0.5975760833
223	0.597164585
224	0.5968391057
225	0.5966407972
226	0.5961399992
227	0.5959608262
228	0.5956821422
229	0.59553815
230	0.5954406377
231	0.5952087684
232	0.5948056959
233	0.5945558714
234	0.5942390366
235	0.5938949864
236	0.5934539718
237	0.593291106
238	0.5932014366
239	0.5929535392
240	0.5927705134
241	0.5926560216
242	0.5923418425
243	0.5922780358
244	0.5922158532
245	0.5920296299
246	0.5918371285
247	0.5916346187
248	0.5908213299
249	0.5906272187
250	0.5903939928
251	0.5902309685
252	0.5900293102
253	0.5894524517
254	0.5893995724
255	0.5892687595
256	0.5890151061
257	0.5888985693
258	0.588623182
259	0.5884253278
260	0.5880823222
261	0.5879831384
262	0.5877826472
263	0.5876285219
264	0.5875319888
265	0.587220015
266	0.5871195956
267	0.5865839543
268	0.5861660497
269	0.5860189011
270	0.5858381634
271	0.585555479
272	0.5854422796
273	0.5853349897
274	0.5846194022
275	0.5844540917
276	0.584188557
277	0.584095272
278	0.583832361
279	0.5834767549
280	0.5832110302
281	0.5830905029
282	0.5830223909
283	0.582873524
284	0.5824628755
285	0.5822857949
286	0.5821670809
287	0.5820289535
288	0.581545079
289	0.581401283
290	0.5807580368
291	0.5802706664
292	0.5799257426
293	0.5795821425
294	0.5793766549
295	0.5793080055
296	0.5792560663
297	0.5788187292
298	0.5785141562
299	0.5783979471
300	0.5782351885
301	0.5780040085
302	0.5777739004
303	0.5776209741
304	0.5771089032
305	0.5769527509
306	0.5768766924
307	0.5766718021
308	0.5765638206
309	0.5762527756
310	0.5761407438
311	0.5759257179
312	0.5755156149
313	0.5754012939
314	0.5752431564
315	0.575150873
