iter	Passed	Remaining
0	373	373384
1	553	275980
2	736	244745
3	913	227360
4	1147	228259
5	1328	220073
6	1504	213453
7	1696	210385
8	1877	206704
9	2056	203600
10	2233	200842
11	2413	198728
12	2596	197111
13	2775	195460
14	2952	193894
15	3138	193003
16	3323	192176
17	3507	191327
18	3688	190425
19	3865	189421
20	4045	188577
21	4219	187575
22	4404	187084
23	4581	186328
24	4762	185750
25	4933	184824
26	5115	184343
27	5295	183820
28	5473	183274
29	5651	182736
30	5826	182138
31	6010	181815
32	6193	181490
33	6377	181189
34	6565	181007
35	6780	181579
36	6958	181115
37	7144	180865
38	7333	180703
39	7508	180210
40	7671	179449
41	7850	179064
42	8034	178804
43	8218	178575
44	8400	178268
45	8576	177877
46	8746	177352
47	8922	176961
48	9108	176785
49	9294	176593
50	9484	176477
51	9661	176143
52	9841	175847
53	10020	175547
54	10196	175194
55	10375	174903
56	10618	175674
57	10779	175072
58	10952	174689
59	11129	174365
60	11310	174110
61	11479	173676
62	11674	173641
63	11857	173409
64	12034	173111
65	12216	172879
66	12391	172554
67	12580	172424
68	12760	172169
69	12958	172164
70	13139	171923
71	13314	171605
72	13480	171189
73	13644	170737
74	13838	170677
75	14038	170677
76	14224	170509
77	14449	170797
78	14617	170417
79	14814	170367
80	14982	169984
81	15154	169657
82	15327	169337
83	15503	169065
84	15673	168720
85	15861	168570
86	16029	168214
87	16217	168073
88	16395	167824
89	16569	167534
90	16728	167101
91	16906	166858
92	17089	166669
93	17285	166604
94	17465	166382
95	17630	166022
96	17794	165652
97	17975	165447
98	18189	165544
99	18366	165299
100	18537	165002
101	18690	164549
102	18887	164484
103	19042	164056
104	19211	163758
105	19369	163365
106	19533	163021
107	19724	162908
108	19875	162465
109	20061	162319
110	20252	162200
111	20441	162072
112	20598	161685
113	20798	161640
114	20965	161341
115	21133	161049
116	21318	160890
117	21515	160822
118	21730	160880
119	21915	160712
120	22096	160517
121	22276	160314
122	22465	160184
123	22650	160012
124	22815	159706
125	22970	159335
126	23147	159117
127	23315	158838
128	23495	158638
129	23658	158330
130	23831	158087
131	24002	157837
132	24172	157577
133	24337	157287
134	24537	157223
135	24702	156930
136	24854	156566
137	25027	156328
138	25219	156213
139	25409	156084
140	25581	155844
141	25748	155581
142	25923	155361
143	26098	155139
144	26283	154979
145	26462	154785
146	26625	154498
147	26801	154290
148	26975	154065
149	27158	153898
150	27328	153653
151	27506	153459
152	27681	153241
153	27847	152977
154	28004	152670
155	28180	152466
156	28348	152213
157	28519	151986
158	28683	151717
159	28860	151516
160	29030	151285
161	29206	151081
162	29386	150897
163	29563	150701
164	29741	150509
165	29907	150258
166	30150	150393
167	30326	150190
168	30499	149970
169	30654	149667
170	30828	149453
171	31020	149329
172	31187	149087
173	31367	148905
174	31539	148684
175	31714	148482
